donor_country,recipient_country,2008,2009,2010,2011,2012
CAN,SVN,..,..,..,..,..
CAN,TUR,..,..,..,..,..
CAN,UKR,4.556868,..,0.015376,..,..
CAN,DZA,..,..,..,..,..
CAN,EGY,..,..,..,0.022748,..
CAN,LBY,..,..,..,..,..
CAN,MAR,..,0.00092,12.09538,..,..
CAN,TUN,..,..,..,..,..
CAN,AGO,..,..,..,..,..
CAN,BEN,..,0.00241,..,..,..
CAN,BWA,..,0.043909,..,0.000101,..
CAN,BFA,..,1.591393,..,0.233283,0.202962
CAN,BDI,..,0.013234,..,0.05325,..
CAN,CMR,..,0.040508,..,..,..
CAN,CPV,..,..,..,..,..
CAN,CAF,..,..,..,0.031412,..
CAN,TCD,..,..,..,0.031412,..
CAN,COM,..,..,..,..,..
CAN,CDZ,..,0.070595,..,0.259094,..
CAN,COG,..,..,..,0.031412,..
CAN,CIV,..,..,..,0.045496,0.07506
CAN,DJI,..,..,..,..,..
CAN,GNQ,..,..,..,..,..
CAN,ERI,..,..,..,..,..
CAN,ETH,..,0.05078,0.302592,0.007785,0.016933
CAN,GAB,..,..,..,0.031412,..
CAN,GMB,..,..,..,..,..
CAN,GHA,..,0.119219,1.059444,0.022758,..
CAN,GIN,..,0.054961,..,0.000101,..
CAN,GNB,..,..,..,..,..
CAN,KEN,14.414582,0.011376,0.02483,0.470124,1.243995
CAN,LSO,..,0.02092,..,..,..
CAN,LBR,..,0.00241,..,..,..
CAN,MDG,..,0.014461,..,..,0.016053
CAN,MWI,..,0.063838,..,0.000101,..
CAN,MLI,0.650981,23.918492,9.327276,4.640481,1.401121
CAN,MRT,..,0.009641,..,..,..
CAN,MUS,..,..,0.015376,..,..
CAN,MOZ,..,30.254153,..,0.11374,6.256505
CAN,NAM,..,..,..,..,..
CAN,NER,..,0.090193,..,..,..
CAN,NGA,..,0.045328,..,..,..
CAN,RWA,4.184879,0.02894,0.29801,0.031412,0.049299
CAN,STP,..,..,..,..,..
CAN,SEN,95.933228,13.335758,0.465502,0.611354,1.266573
CAN,SYC,..,..,..,..,..
CAN,SLE,..,0.018063,0.395826,..,..
CAN,SOM,..,..,..,..,..
CAN,ZAF,..,..,..,..,..
CAN,SHN,..,..,..,..,..
CAN,SDN,3.78499,5.258545,..,0.030331,..
CAN,SWZ,..,..,..,..,..
CAN,TZA,1.673951,14.582936,0.956406,1.09458,0.486089
CAN,TGO,..,0.053024,..,0.049853,..
CAN,UGA,..,0.030719,0.049505,0.187039,0.005004
CAN,ZMB,..,..,..,..,..
CAN,ZWE,..,..,..,..,..
CAN,AIA,..,0.00241,..,..,..
CAN,ATG,..,..,..,0.007583,..
CAN,ABW,..,..,..,..,..
